	Features	0-precision	1-precision	0-recall	1-recall	0-fscore	1-fscore	Accuracy	Std-Error
65	Glucose,DiabetesPedigreeFunction	0.8349514563106796	0.7	0.8514851485148515	0.6730769230769231	0.8431372549019608	0.6862745098039216	0.7128712871287128	0.0621204922888693
73	Glucose,Insulin,DiabetesPedigreeFunction	0.84	0.6792452830188679	0.8316831683168316	0.6923076923076923	0.835820895522388	0.6857142857142857	0.7147738303242089	0.0482677442377944
125	Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction	0.8469387755102041	0.6727272727272727	0.8217821782178217	0.7115384615384616	0.8341708542713568	0.6915887850467289	0.7127159774801008	0.03621385294898687
78	Glucose,Insulin,BMI,DiabetesPedigreeFunction,Age	0.8804347826086957	0.6721311475409836	0.801980198019802	0.7884615384615384	0.839378238341969	0.7256637168141593	0.7383032420889147	0.043753127267243716
77	Glucose,Insulin,BMI,DiabetesPedigreeFunction	0.8235294117647058	0.6666666666666666	0.8316831683168316	0.6538461538461539	0.8275862068965516	0.6601941747572816	0.7109105028149874	0.05896212607967468
109	Glucose,BloodPressure,Insulin,BMI,DiabetesPedigreeFunction	0.845360824742268	0.6607142857142857	0.8118811881188119	0.7115384615384616	0.8282828282828284	0.6851851851851851	0.7147932440302853	0.05743322404260051
76	Glucose,Insulin,BMI,Age	0.9069767441860465	0.6567164179104478	0.7722772277227723	0.8461538461538461	0.8342245989304812	0.7394957983193277	0.7501261890894971	0.04073865264853595
122	Glucose,BloodPressure,SkinThickness,Insulin,DiabetesPedigreeFunction,Age	0.8876404494382022	0.65625	0.7821782178217822	0.8076923076923077	0.831578947368421	0.7241379310344829	0.7226752086973403	0.06183279099895887
93	Glucose,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction	0.8526315789473684	0.6551724137931034	0.801980198019802	0.7307692307692307	0.826530612244898	0.6909090909090909	0.7028732284993204	0.03150193118782156
110	Glucose,BloodPressure,Insulin,BMI,DiabetesPedigreeFunction,Age	0.8526315789473684	0.6551724137931034	0.801980198019802	0.7307692307692307	0.826530612244898	0.6909090909090909	0.7226557949912638	0.061160489280921264
106	Glucose,BloodPressure,Insulin,DiabetesPedigreeFunction,Age	0.896551724137931	0.6515151515151515	0.7722772277227723	0.8269230769230769	0.8297872340425532	0.7288135593220337	0.7324985439720443	0.07320935074413153
126	Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age	0.8602150537634409	0.65	0.7920792079207921	0.75	0.8247422680412373	0.6964285714285715	0.7285381479324402	0.05723283038143348
94	Glucose,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age	0.8602150537634409	0.65	0.7920792079207921	0.75	0.8247422680412373	0.6964285714285715	0.7166763735197049	0.04334795828969316
108	Glucose,BloodPressure,Insulin,BMI,Age	0.9058823529411765	0.6470588235294118	0.7623762376237624	0.8461538461538461	0.8279569892473118	0.7333333333333334	0.7364201125994952	0.06360184925260826
74	Glucose,Insulin,DiabetesPedigreeFunction,Age	0.9058823529411765	0.6470588235294118	0.7623762376237624	0.8461538461538461	0.8279569892473118	0.7333333333333334	0.7383808969132207	0.07061537509372309
89	Glucose,SkinThickness,Insulin,DiabetesPedigreeFunction	0.8494623655913979	0.6333333333333333	0.7821782178217822	0.7307692307692307	0.8144329896907216	0.6785714285714285	0.6852067559697146	0.045983197824951715
81	Glucose,SkinThickness,DiabetesPedigreeFunction	0.8494623655913979	0.6333333333333333	0.7821782178217822	0.7307692307692307	0.8144329896907216	0.6785714285714285	0.7088332362648029	0.0409135553412504
90	Glucose,SkinThickness,Insulin,DiabetesPedigreeFunction,Age	0.8941176470588236	0.6323529411764706	0.7524752475247525	0.8269230769230769	0.8172043010752688	0.7166666666666666	0.7029508833236264	0.04248260096406679
124	Glucose,BloodPressure,SkinThickness,Insulin,BMI,Age	0.8941176470588236	0.6323529411764706	0.7524752475247525	0.8269230769230769	0.8172043010752688	0.7166666666666666	0.7107940205785284	0.04940182100765614
102	Glucose,BloodPressure,BMI,DiabetesPedigreeFunction,Age	0.8571428571428571	0.6290322580645161	0.7722772277227723	0.75	0.8125	0.6842105263157896	0.7402834401087167	0.061400325802625146
71	Glucose,Insulin	0.8571428571428571	0.6290322580645161	0.7722772277227723	0.75	0.8125	0.6842105263157896	0.7068530382450009	0.04609800757461552
82	Glucose,SkinThickness,DiabetesPedigreeFunction,Age	0.9036144578313253	0.6285714285714286	0.7425742574257426	0.8461538461538461	0.8152173913043479	0.721311475409836	0.7324985439720443	0.06062675060289801
68	Glucose,BMI,Age	0.9036144578313253	0.6285714285714286	0.7425742574257426	0.8461538461538461	0.8152173913043479	0.721311475409836	0.7481654047757716	0.04072570780045308
63	Glucose	0.8404255319148937	0.6271186440677966	0.7821782178217822	0.7115384615384616	0.8102564102564104	0.6666666666666666	0.70879440885265	0.03088231899844525
114	Glucose,BloodPressure,SkinThickness,DiabetesPedigreeFunction,Age	0.8837209302325582	0.6268656716417911	0.7524752475247525	0.8076923076923077	0.8128342245989305	0.7058823529411765	0.7443409046787032	0.0748269411849291
105	Glucose,BloodPressure,Insulin,DiabetesPedigreeFunction	0.8247422680412371	0.625	0.7920792079207921	0.6730769230769231	0.8080808080808082	0.6481481481481483	0.6872840225198991	0.07313948803926314
116	Glucose,BloodPressure,SkinThickness,BMI,Age	0.8928571428571429	0.6231884057971014	0.7425742574257426	0.8269230769230769	0.8108108108108107	0.7107438016528926	0.7402834401087167	0.04070812064330792
